estacao;mes;nome_mes;temperatura_media;;;
A701;1;Janeiro;23.14;;;
A701;2;Fevereiro;23.74;;;
A701;3;Março;23.61;;;
A701;4;Abril;22.9;;;
A701;5;Maio;21.68;;;
A701;6;Junho;20.07;;;
A701;7;Julho;17.6;;;
A701;8;Agosto;18.95;;;
A701;9;Setembro;22.68;;;
A701;10;Outubro;20.77;;;
A701;11;Novembro;21.67;;;
A701;12;Dezembro;22.69;;;
A771;1;Janeiro;22.22;;;
A771;2;Fevereiro;22.83;;;
A771;3;Março;22.72;;;
A771;4;Abril;21.71;;;
A771;5;Maio;20.48;;;
A771;6;Junho;18.92;;;
A771;7;Julho;16.44;;;
A771;8;Agosto;17.63;;;
A771;9;Setembro;20.92;;;
A771;10;Outubro;19.39;;;
A771;11;Novembro;;;;
A771;12;Dezembro;21.45;;;
