timestamp,temperatura,precipitacao,radiacao,umidade,velocidade_vento,estacao
2024-01-01T00:00:00,21.28,0.00,2086.30,80.00,8.80,A701
2024-01-02T00:00:00,22.76,0.20,3437.00,80.00,10.60,A701
2024-01-03T00:00:00,23.13,9.40,3438.20,91.00,11.50,A701
2024-01-04T00:00:00,21.58,0.80,1772.50,91.00,9.40,A701
2024-01-05T00:00:00,22.28,4.60,3625.70,92.00,9.80,A701
2024-01-06T00:00:00,23.07,0.00,3250.90,83.00,7.70,A701
2024-01-07T00:00:00,24.82,0.00,3618.50,82.00,8.60,A701
2024-01-08T00:00:00,25.70,9.40,3552.00,87.00,13.30,A701
2024-01-09T00:00:00,24.84,19.00,3829.40,85.00,15.70,A701
2024-01-10T00:00:00,26.31,0.00,3750.30,84.00,8.50,A701
2024-01-11T00:00:00,24.95,48.80,3694.30,97.00,14.00,A701
2024-01-12T00:00:00,24.22,13.80,2858.80,97.00,10.50,A701
2024-01-13T00:00:00,21.18,8.40,1398.10,99.00,8.40,A701
2024-01-14T00:00:00,23.59,0.00,3537.90,86.00,7.60,A701
2024-01-15T00:00:00,25.98,0.00,3620.80,85.00,9.40,A701
2024-01-16T00:00:00,27.66,0.00,3910.10,75.00,10.80,A701
2024-01-17T00:00:00,27.53,8.60,3064.80,89.00,9.40,A701
2024-01-18T00:00:00,26.32,0.20,3735.70,87.00,8.50,A701
2024-01-19T00:00:00,25.21,1.40,3306.90,85.00,11.70,A701
2024-01-20T00:00:00,23.81,18.60,2212.70,92.00,12.50,A701
2024-01-21T00:00:00,21.78,6.80,3090.90,91.00,8.10,A701
2024-01-22T00:00:00,21.32,2.20,2275.90,92.00,9.20,A701
2024-01-23T00:00:00,18.69,7.20,1145.80,92.00,10.10,A701
2024-01-24T00:00:00,19.26,0.00,2496.70,90.00,13.00,A701
2024-01-25T00:00:00,18.42,0.60,1386.10,90.00,10.00,A701
2024-01-26T00:00:00,18.91,0.20,2110.60,91.00,8.80,A701
2024-01-27T00:00:00,20.75,1.40,3568.90,91.00,7.00,A701
2024-01-28T00:00:00,20.80,11.20,2142.80,92.00,11.50,A701
2024-01-29T00:00:00,22.65,0.00,3593.90,92.00,10.60,A701
2024-01-30T00:00:00,25.29,0.00,3552.00,83.00,8.90,A701
2024-01-31T00:00:00,23.38,6.80,2143.90,87.00,12.90,A701
2024-02-01T00:00:00,21.23,13.80,2503.90,91.00,9.60,A701
2024-02-02T00:00:00,20.72,12.80,2186.70,89.00,11.50,A701
2024-02-03T00:00:00,22.15,0.00,2196.50,89.00,6.40,A701
2024-02-04T00:00:00,22.80,5.80,2879.10,84.00,15.80,A701
2024-02-05T00:00:00,23.69,0.00,3736.30,89.00,8.10,A701
2024-02-06T00:00:00,24.56,0.00,2934.00,77.00,8.00,A701
2024-02-07T00:00:00,24.33,0.00,3136.60,86.00,9.50,A701
2024-02-08T00:00:00,24.94,0.00,3199.30,85.00,8.60,A701
2024-02-09T00:00:00,25.02,0.00,3954.00,86.00,9.60,A701
2024-02-10T00:00:00,25.52,0.00,3519.40,84.00,8.90,A701
2024-02-11T00:00:00,25.66,0.00,3789.50,81.00,7.10,A701
2024-02-12T00:00:00,26.43,0.00,3740.60,75.00,10.90,A701
2024-02-13T00:00:00,27.32,0.00,3585.40,74.00,12.10,A701
2024-02-14T00:00:00,22.69,30.40,1917.30,100.00,13.70,A701
2024-02-15T00:00:00,20.62,2.60,1172.30,93.00,11.40,A701
2024-02-16T00:00:00,21.15,0.20,2541.10,90.00,7.40,A701
2024-02-17T00:00:00,22.06,0.00,2719.50,84.00,9.90,A701
2024-02-18T00:00:00,21.63,17.60,3623.00,93.00,17.70,A701
2024-02-19T00:00:00,22.38,0.20,3233.10,93.00,9.30,A701
